CATALOG #,Group,Sex,GOL,XCB,BBH,XFB,STB,ASB,FOL,BNL,BPL,ZYB,UFHT,NLH,NLW,OBB,OBH,MAB
ERCS,GupteTurner,F,164,132,121,87,99,91,30,92,96,119,56,44,25,36,31,59
EUAM1,GupteTurner,M,159,141,123,90,111,102,31,83,82,112,53,40,20,35,32,56
EUAM2,GupteTurner,F,166,131,122,90,107,99,33,93,90,123,59,43,25,36,30,60
EUAM3,GupteTurner,F,161,130,119,88,104,95,29,90,91,118,54,41,21,37,30,53
EUAM4,GupteTurner,F,159,131,125,90,109,97,34,89,89,115,55,41,23,37,31,56
EUAM5,GupteTurner,M,173,136,127,102,122,96,32,94,91,128,62,45,24,37,32,64
EUAM6,GupteTurner,M,158,128,125,89,100,97,29,90,91,121,58,43,22,37,32,62
EUAMA,GupteTurner,M,180,125,139,92,110,102,29,104,102,128,60,47,23,36,30,61
EUAMB,GupteTurner,M,177,123,132,92,110,101,34,91,95,122,64,46,24,37,30,59
EUAMBahgmari1,GupteTurner,M,184,134,135,99,105,106,36,101,98,131,69,50,28,40,34,70
EUAMBahgmari2,GupteTurner,F,168,125,122,92,102,95,31,93,93,122,56,43,24,35,30,60
EUAMBhumij,GupteTurner,M,182,129,130,89,113,100,34,101,93,126,64,46,24,35,32,69
EUAMC,GupteTurner,F,176,132,134,91,105,100,32,95,95,118,63,44,25,37,31,61
EUAMD,GupteTurner,M,177,126,135,89,101,103,33,97,94,118,57,43,24,37,31,60
EUAMKamar,GupteTurner,F,173,128,128,90,102,100,34,100,95,123,59,45,24,36,30,64
EUAMKandh,GupteTurner,M,172,135,140,92,106,106,37,99,95,128,64,47,25,40,32,68
EUAMMunda,GupteTurner,F,170,125,128,91,109,102,32,95,94,125,64,47,25,36,33,60
EUAMTamil1,GupteTurner,M,181,121,131,90,99,101,34,104,95,123,59,47,27,39,29,60
EUAMTamil2,GupteTurner,M,181,130,132,87,102,95,35,105,101,123,61,47,25,36,30,62
EUAMTeli,GupteTurner,F,168,121,110,89,104,94,27,91,95,119,58,42,24,36,31,65
EUAMVedda1,GupteTurner,M,167,127,127,93,98,97,32,97,98,129,66,45,22,38,31,64
EUAMVedda2,GupteTurner,M,180,121,126,93,99,100,29,98,100,121,64,46,22,36,30,63
HT143,GupteTurner,M,177,125,130,93,108,103,37,94,96,131,59,43,25,41,29,66
HT144,GupteTurner,F,174,121,131,88,100,99,33,97,88,111,55,42,26,37,32,53
HT145,GupteTurner,M,170,128,129,87,104,98,34,91,89,120,56,44,23,36,30,58
IM10,GupteTurner,M ,175,133,127,90,109,105,37,91,90,125,61,50,24,35,32,65
IM129,GupteTurner,M,161,138,128,90,112,97,29,96,96,122,60,48,24,37,30,61
IM130,GupteTurner,M ,185,141,150,100,120,115,33,106,95,133,69,52,25,39,35,64
IM149,GupteTurner,M ,180,133,146,95,114,100,36,104,96,133,66,46,25,36,33,65
IM14S1F,GupteTurner,M ,185,128,138,95,107,105,37,105,100,122,70,54,27,40,33,62
IM16S3F,GupteTurner,M ,175,134,132,90,105,103,38,98,92,118,68,51,24,40,34,60
IM179,GupteTurner,M ,175,130,138,96,109,103,34,102,97,128,66,48,22,37,32,63
IM17S4F,GupteTurner,M ,186,134,145,94,99,113,35,109,106,133,70,50,27,40,34,70
IM18,GupteTurner,M,183,133,131,94,115,105,36,95,92,129,66,50,26,38,33,61
IM18S5F,GupteTurner,M ,183,133,131,94,115,105,36,95,92,129,66,50,26,38,33,61
IM199,GupteTurner,M ,175,135,132,98,115,98,37,97,96,126,66,50,25,39,35,64
IM2,GupteTurner,M ,181,127,143,92,106,100,35,106,95,126,73,51,24,37,36,65
IM20,GupteTurner,M ,187,134,140,95,109,109,33,101,98,127,66,46,25,38,32,59
IM22,GupteTurner,M,183,133,132,93,110,99,30,101,102,124,61,44,27,41,31,65
IM23,GupteTurner,M ,177,129,130,91,109,109,34,94,94,114,65,47,23,38,32,59
IM23(dup),GupteTurner,M,188,135,132,95,111,109,38,99,101,134,66,46,24,39,30,65
IM232,GupteTurner,M ,177,128,134,92,108,104,31,101,96,130,60,47,23,37,32,58
IM24,GupteTurner,M ,182,129,135,101,113,100,33,100,88,125,71,53,27,39,35,60
IM24(dup),GupteTurner,M ,182,132,130,94,111,104,35,98,93,125,60,46,23,37,32,64
IM25,GupteTurner,M,176,123,132,89,102,105,35,91,88,123,59,45,28,35,34,62
IM25S12F,GupteTurner,M ,176,123,132,89,102,105,35,91,88,123,59,45,23,35,34,62
IM26,GupteTurner,M,179,127,128,89,105,100,35,101,95,122,62,47,26,39,31,66
IM26S13F,GupteTurner,M ,179,127,128,89,105,100,35,101,95,122,62,47,26,39,31,66
IM27,GupteTurner,M,183,125,135,89,102,100,41,96,87,124,63,47,25,39,34,63
IM284,GupteTurner,M ,181,129,126,87,112,104,35,100,86,119,60,48,27,38,29,59
IM285,GupteTurner,M ,166,142,131,93,112,106,37,98,93,131,63,49,26,38,35,61
IM295,GupteTurner,,190,131,133,87,99,102,37,93,85,125,70,50,25,41,35,64
IM296,GupteTurner,,182,131,135,100,103,104,36,104,98,128,70,50,27,45,35,67
IM297,GupteTurner,,184,133,130,90,103,107,40,98,96,128,68,50,25,40,33,67
IM298,GupteTurner,,180,135,135,100,120,98,35,98,100,125,65,48,25,40,35,60
IM299,GupteTurner,,180,136,131,95,110,105,31,97,88,123,62,50,25,40,33,58
IM2F,GupteTurner,M ,169,136,133,97,115,100,37,99,92,125,61,48,20,43,33,59
IM2S17F,GupteTurner,F ,164,134,138,95,112,100,32,96,98,130,58,46,24,40,30,62
IM300,GupteTurner,,180,138,130,94,110,105,32,97,91,125,63,50,25,40,30,60
IM301,GupteTurner,,191,132,133,90,98,102,40,100,95,125,65,50,26,37,33,62
